nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
15,0,0,0,0,432,509,0,0,0,0
0,0,0,0,0,432,510,0,0,0,0
1,0,0,0,0,432,510,0,0,0,0
2,0,0,0,0,432,510,0,0,0,0
3,0,0,0,0,431,510,0,0,0,0
4,0,0,0,0,431,510,0,0,0,0
5,0,0,0,0,431,510,0,0,0,0
6,0,0,0,0,431,510,0,0,0,0
7,0,0,0,0,431,510,0,0,0,0
8,0,0,0,0,431,511,0,0,0,0
9,0,0,0,0,431,511,0,0,0,0
10,0,0,0,0,430,510,0,0,0,0
11,0,0,0,0,430,510,0,0,0,0
12,0,0,0,0,431,509,0,0,0,0
13,0,0,0,0,430,509,0,0,0,0
14,0,0,0,0,430,509,0,0,0,0
15,0,0,0,0,430,508,0,0,0,0
0,0,0,0,0,430,507,0,0,0,0
1,0,0,0,0,429,507,0,0,0,0
2,0,0,0,0,429,508,0,0,0,0
3,0,0,0,0,430,507,0,0,0,0
4,0,0,0,0,430,508,0,0,0,0
5,0,0,0,0,430,507,0,0,0,0
6,0,0,0,0,430,507,0,0,0,0
7,0,0,0,0,429,506,0,0,0,0
8,0,0,0,0,429,505,0,0,0,0
9,0,0,0,0,429,505,0,0,0,0
10,0,0,0,0,429,507,0,0,0,0
11,0,0,0,0,429,508,0,0,0,0
12,0,0,0,0,428,508,0,0,0,0
13,0,0,0,0,428,509,0,0,0,0
14,0,0,0,0,429,510,0,0,0,0
15,0,0,0,0,428,510,0,0,0,0
0,0,0,0,0,428,510,0,0,0,0
1,0,0,0,0,428,509,0,0,0,0
2,0,0,0,0,428,509,0,0,0,0
3,0,0,0,0,428,510,0,0,0,0
4,0,0,0,0,428,511,0,0,0,0
5,0,0,0,0,429,511,0,0,0,0
6,0,0,0,0,429,511,0,0,0,0
7,0,0,0,0,429,511,0,0,0,0
8,0,0,0,0,428,510,0,0,0,0
9,0,0,0,0,429,509,0,0,0,0
10,0,0,0,0,429,509,0,0,0,0
11,0,0,0,0,429,509,0,0,0,0
12,0,0,0,0,429,509,0,0,0,0
13,0,0,0,0,428,509,0,0,0,0
14,0,0,0,0,428,509,0,0,0,0
15,0,0,0,0,428,509,0,0,0,0
0,0,0,0,0,429,509,0,0,0,0
1,0,0,0,0,429,509,0,0,0,0
2,0,0,0,0,429,510,0,0,0,0
3,0,0,0,0,429,511,0,0,0,0
4,0,0,0,0,430,511,0,0,0,0
5,0,0,0,0,430,511,0,0,0,0
6,0,0,0,0,430,510,0,0,0,0
7,0,0,0,0,430,510,0,0,0,0
8,0,0,0,0,431,510,0,0,0,0
9,0,0,0,0,431,509,0,0,0,0
10,0,0,0,0,431,508,0,0,0,0
11,0,0,0,0,431,508,0,0,0,0
12,0,0,0,0,432,508,0,0,0,0
13,0,0,0,0,431,508,0,0,0,0
14,0,0,0,0,432,509,0,0,0,0
15,0,0,0,0,432,510,0,0,0,0
0,0,0,0,0,432,511,0,0,0,0
1,0,0,0,0,432,512,0,0,0,0
2,0,0,0,0,431,511,0,0,0,0
3,0,0,0,0,432,511,0,0,0,0
4,0,0,0,0,432,510,0,0,0,0
5,0,0,0,0,432,511,0,0,0,0
